name,fecha_de_nacimiento,dni,password,fecha_contratacion,num_seg_social,horas_trabajadas,horas_contrato,horas_extras
"Clara Esteban","1995-12-30","77225511V","clara_E","2024-02-15","287772225551",160.0,160.0,0.0
"Fernando Paz","1981-01-25","33558822W","paz_F","2015-03-20","283335558882",190.0,160.0,30.0
"Isabel Lara","1994-07-11","99114466X","lara_I","2022-09-10","289991114446",160.0,160.0,0.0
"Pedro Salas","1988-10-05","22447700Y","salas_P","2020-05-25","282224447770",168.5,160.0,8.5
"Natalia Diez","1991-03-14","55770033Z","diez_N","2021-06-18","285557770003",160.0,160.0,0.0
"Rubén Merino","1996-08-27","88003366A","merino_R","2023-10-12","288880003336",160.0,160.0,0.0
"Sara Vidal","1987-11-09","11336699B","vidal_S","2019-12-01","281113336669",166.0,160.0,6.0
"Óscar Blasco","1992-02-15","44669922C","blasco_O","2022-04-05","284446669992",160.0,160.0,0.0
"Julia Ferrer","1985-05-22","77992255D","ferrer_J","2018-02-14","287779992225",160.0,160.0,0.0
"Víctor Ortiz","1993-09-08","33221100E","ortiz_V","2023-08-20","283332221110",160.0,160.0,0.0
"Alicia Núñez","1989-12-19","66554433F","nunez_A","2021-01-15","286665554443",162.0,160.0,2.0
"Teresa Mora","1990-07-31","99887766G","mora_T","2020-11-30","289998887776",160.0,160.0,0.0
"Manuel Redondo","1984-01-12","22110099H","redon_M","2017-06-10","282221110009",165.5,160.0,5.5
"Cristina Gallego","1995-04-25","55443322I","gall_C","2024-03-01","285554443332",80.0,80.0,0.0
"Joaquín Peña","1982-10-02","88776655J","pena_J","2014-09-25","288887776665",170.0,160.0,10.0
"Laura Calvo","1993-11-14","11009988K","calvo_L","2022-07-12","281110009998",160.0,160.0,0.0
"Iván Luque","1997-06-03","44332211L","luque_I","2023-12-05","284443332221",160.0,160.0,0.0
"Ángela Giner","1988-02-28","77665544M","giner_A","2020-02-15","287776665554",160.0,160.0,0.0
"Felipe Romero","1991-08-21","00998877N","romer_F","2021-05-18","280009998887",167.0,160.0,7.0
"Mónica Lozano","1986-03-09","33225588O","lozan_M","2019-04-01","283332225558",160.0,160.0,0.0
"Daniel Serra","1994-05-16","66558811P","serra_D","2022-11-20","286665558881",160.0,160.0,0.0
"Rosa Expósito","1990-12-07","99881144Q","expos_R","2023-04-10","289998881114",160.0,160.0,0.0
"Enrique Ibáñez","1983-09-24","22114477R","ibanez_E","2016-12-15","282221114447",180.0,160.0,20.0
"Lorena Flores","1992-01-11","55447700S","flore_L","2022-01-05","285554447770",160.0,160.0,0.0
"Adrián Beltrán","1996-07-19","88770033T","beltr_A","2023-06-18","288887770003",160.0,160.0,0.0
"Sonia Herrera","1987-10-30","11003366U","herre_S","2020-08-12","281110003336",163.0,160.0,3.0
"Gabriel Santos","1993-02-14","44336699V","santo_G","2022-10-01","284443336669",160.0,160.0,0.0
"Esther Prieto","1985-06-25","77669922W","priet_E","2018-05-30","287776669992",160.0,160.0,0.0
"Ramón Guerrero","1994-04-03","00992255X","guerr_R","2023-02-28","280009992225",160.0,160.0,0.0
"Ainhoa Carmona","1991-11-21","33225511Y","carmo_A","2021-03-20","283332225551",168.0,160.0,8.0
"Samuel Cruz","1989-08-08","66558844Z","cruz_S","2019-07-14","286665558884",160.0,160.0,0.0
"Noelia Pastor","1995-01-12","99881177A","pasto_N","2024-02-10","289998881117",80.0,80.0,0.0
"Javier Roman","1982-05-19","22114400B","roman_J","2015-11-01","282221114440",175.5,160.0,15.5
"Verónica Maza","1993-09-04","55447733C","maza_V","2022-05-05","285554447773",160.0,160.0,0.0
"Brais Otero","1997-03-17","88770066D","otero_B","2023-11-22","288887770006",160.0,160.0,0.0
"Paula Ibarguren","1988-06-28","11003399E","ibarg_P","2020-01-15","281110003339",160.0,160.0,0.0
"Marcos Gil","1991-10-12","44336622F","gil_M","2021-09-30","284443336662",164.0,160.0,4.0
"Lara Sobrino","1986-04-05","77669955G","sobri_L","2019-02-28","287776669995",160.0,160.0,0.0
"Iker Valero","1994-07-23","00992288H","valer_I","2022-08-14","280009992228",160.0,160.0,0.0
"Candela Moya","1990-02-09","33225511I","moya_C","2020-12-20","283332225551",169.0,160.0,9.0
"Erik Montero","1983-11-14","66558844J","monte_E","2017-04-05","286665558884",160.0,160.0,0.0
"Ona Solé","1995-05-30","99881177K","sole_O","2024-01-20","289998881117",120.0,120.0,0.0
"Hugo Pardo","1981-12-18","22114400L","pardo_H","2014-06-10","282221114440",185.0,160.0,25.0
"Nerea Costa","1992-08-25","55447733M","costa_N","2022-03-12","285554447773",160.0,160.0,0.0
"Martí Ripoll","1996-02-01","88770066N","ripol_M","2023-09-30","288887770006",160.0,160.0,0.0
"Gema Blázquez","1987-07-14","11003399O","blazq_G","2019-10-15","281110003339",166.5,160.0,6.5
"Carla Salgado","1991-01-08","44336622P","salga_C","2021-02-28","284443336662",160.0,160.0,0.0
"Alejandro Rius","1984-06-21","77669955Q","rius_A","2018-08-20","287776669995",160.0,160.0,0.0
"Miriam Cobo","1993-10-30","00992288R","cobo_M","2022-12-12","280009992228",160.0,160.0,0.0
"Pau Segura","1989-03-12","33225511S","segur_P","2020-04-30","283332225551",170.0,160.0,10.0
"Leire Ortiz","1995-09-05","66558844T","ortiz_L","2023-07-25","286665558884",160.0,160.0,0.0
"Rubén Soria","1982-01-19","99881177U","soria_R","2015-01-05","289998881117",160.0,160.0,0.0
"Nuria Valls","1994-04-22","22114400V","valls_N","2022-06-30","282221114440",160.0,160.0,0.0
"Arnau Mas","1997-11-11","55447733W","mas_A","2024-03-15","285554447773",40.0,40.0,0.0
"Elsa Quesada","1988-08-28","88770066X","quesa_E","2020-09-10","288887770006",162.0,160.0,2.0
"Lluís Prat","1991-05-15","11003399Y","prat_L","2021-05-01","281110003339",160.0,160.0,0.0
"Irene Molina","1986-12-03","44336622Z","molin_I","2019-11-22","284443336662",160.0,160.0,0.0
"Yeray Ramos","1994-02-18","77669955A","ramos_Y","2022-10-25","287776669995",160.0,160.0,0.0
"Jana Bosch","1990-07-07","00992288B","bosch_J","2021-01-10","280009992228",168.0,160.0,8.0
"Toni Estévez","1983-04-25","33225511C","estev_T","2017-02-14","283332225551",160.0,160.0,0.0
"Zoe Aguilar","1995-10-12","66558844D","aguil_Z","2023-04-01","286665558884",160.0,160.0,0.0
"Biel Figueras","1985-06-30","99881177E","figue_B","2018-03-15","289998881117",175.0,160.0,15.0
"Sabela Castro","1992-09-14","22114400F","castr_S","2022-02-10","282221114440",160.0,160.0,0.0
"Eloy Marín","1996-03-22","55447733G","marin_E","2023-08-12","285554447773",160.0,160.0,0.0
"Olga Ibáñez","1987-01-05","88770066H","ibane_O","2019-12-18","288887770006",164.5,160.0,4.5
"Xavi Doménech","1991-08-19","11003399I","domen_X","2021-07-22","281110003339",160.0,160.0,0.0
"Malak Ruiz","1998-12-30","44336622J","ruiz_M","2024-02-01","284443336662",160.0,160.0,0.0
"Mateo Campos","1984-05-11","77669955K","campo_M","2016-10-30","287776669995",190.0,160.0,30.0
"Luna Vargas","1993-11-28","00992288L","varga_L","2022-11-05","280009992228",160.0,160.0,0.0
"Unai Herrera","1989-02-14","33225511M","herre_U","2020-03-20","283332225551",160.0,160.0,0.0
"Alba Garcés","1995-07-07","66558844N","garce_A","2023-05-15","286665558884",160.0,160.0,0.0
"Eneko Rubio","1982-10-18","99881177O","rubio_E","2014-12-01","289998881117",165.0,160.0,5.0
"Maite León","1994-05-25","22114400P","leon_M","2022-09-01","282221114440",160.0,160.0,0.0
"Cesc Fabra","1997-01-12","55447733Q","fabra_C","2024-01-15","285554447773",160.0,160.0,0.0
"Rocío Blanco","1988-06-19","88770066R","blanc_R","2020-04-10","288887770006",160.0,160.0,0.0
"Quim Borrell","1991-03-04","11003399S","borre_Q","2021-08-30","281110003339",172.0,160.0,12.0
"Valeria Montes","1986-09-12","44336622T","monte_V","2019-06-05","284443336662",160.0,160.0,0.0
"Oriol Serra","1994-12-25","77669955U","serra_O","2023-01-20","287776669995",160.0,160.0,0.0
"Lola Cruz","1990-04-30","00992288V","cruz_L","2021-02-14","280009992228",160.0,160.0,0.0
